ID;BJD;RV;e_RV
K2-32      ;2457580.97925;     6.30; 1.77
K2-32      ;2457581.96795;     2.65; 1.88
K2-32      ;2457582.84793;     1.58; 1.64
K2-32      ;2457591.96443;     3.75; 1.95
K2-32      ;2457595.85789;    -0.40; 1.89
K2-32      ;2457598.90756;    10.05; 1.76
K2-32      ;2457599.89725;     0.80; 1.75
K2-32      ;2457615.80241;    -6.52; 1.71
K2-32      ;2457616.79852;    -1.33; 1.68
K2-32      ;2457617.79467;    12.13; 1.71
K2-32      ;2457618.77655;     0.63; 1.64
K2-32      ;2457620.79940;     1.58; 1.72
K2-32      ;2457185.60690;    10.69; 2.65
K2-32      ;2457185.67718;    10.92; 2.34
K2-32      ;2457185.81974;     9.38; 2.73
K2-32      ;2457185.84975;     3.16; 4.14
K2-32      ;2457186.59974;     1.56; 3.49
K2-32      ;2457186.66981;     8.09; 2.97
K2-32      ;2457186.79015;     0.48; 2.84
K2-32      ;2457186.82363;     6.96; 3.18
K2-32      ;2457187.67459;     5.04; 1.66
K2-32      ;2457187.74382;     2.94; 2.41
K2-32      ;2457187.78138;     0.31; 2.22
K2-32      ;2457187.81506;     8.21; 3.13
K2-32      ;2457188.63849;     6.46; 2.19
K2-32      ;2457188.69403;     5.69; 1.73
K2-32      ;2457188.75958;    -8.45; 3.83
K2-32      ;2457188.79906;    -1.28; 2.62
K2-32      ;2457188.83141;    10.79; 3.66
K2-32      ;2457189.64108;    -1.58; 2.19
K2-32      ;2457189.69856;    -1.46; 1.71
K2-32      ;2457189.75643;    -3.27; 1.53
K2-32      ;2457189.78890;    -8.02; 1.53
K2-32      ;2457189.82294;    -8.48; 1.78
K2-32      ;2457190.64915;    -6.05; 1.67
K2-32      ;2457190.68400;    -2.64; 1.73
K2-32      ;2457190.71716;    -7.75; 2.04
K2-32      ;2457190.74988;    -3.93; 2.18
K2-32      ;2457190.78420;    -8.97; 2.22
K2-32      ;2457191.66878;   -10.48; 3.27
K2-32      ;2457191.70642;   -13.28; 2.14
K2-32      ;2457191.76095;    -4.02; 2.42
K2-32      ;2457191.79493;    -4.92; 3.20
K2-32      ;2457191.82491;    -0.74; 3.98
