BJD,RV,ERV
2454430.08013,-69.32,0.93
2454454.00221,49.7,1.01
2454454.00359,52.09,0.98
2454454.96379,30.64,1.05
2454455.97707,-10.82,0.99
2454458.96022,-55.66,1.13
2454461.06315,-21.59,1.07
2454461.94526,0.43,1.15
2454492.95632,28.34,0.89
2454544.91109,-31.78,0.92
2454545.90369,-54.5,0.82
2454779.0881,-21.81,1.09
2454779.08881,-22.56,1.12
2454779.08965,-20.06,1.07
2454806.00951,43.06,1.08
2454806.01028,38.26,1.09
2454806.01103,38.46,1.08
2454807.03757,23.24,1.04
2454808.01332,-16.22,0.97
2454808.01412,-20.01,1.09
2454808.0148,-16.66,1.0
2454809.09071,-28.12,0.98
2454809.0914,-30.24,1.05
2454809.0922,-31.94,1.02
2454809.973,-38.46,0.83
2454809.97373,-39.42,0.96
2454809.97448,-38.04,0.96
2454810.97906,-48.84,0.91
2454810.97977,-48.67,0.97
2454810.98049,-51.09,0.92
2454839.04655,-64.89,0.98
2454839.04728,-61.8,0.99
2454839.04801,-62.65,0.99
2454847.09323,75.7,1.22
2454847.09406,75.79,1.18
2454847.09482,76.24,1.13
2454864.99148,46.64,1.04
2454864.99232,44.76,0.94
2454864.993,44.31,0.9
2454927.82817,-59.68,1.15
2454929.85827,-34.05,0.96
2454929.85986,-40.29,1.06
2454929.86144,-38.3,1.1
2454934.85273,81.26,0.9
2454934.85365,80.17,0.92
2454934.85457,79.96,0.9
2454954.84576,-15.61,1.0
2454954.84644,-14.28,0.97
2454954.84712,-16.22,0.89
